Name;IB1
Label;1
POSmz788.672rt20.3036;3.05E+05
POSmz787.668rt20.4171;7.55E+05
POSmz79.022rt2.6252;1.70E+06
POSmz101.004rt2.6653;2.50E+05
POSmz141.128rt16.3248;3.34E+05
POSmz250.991rt8.6787;1.15E+06
POSmz217.957rt8.6837;4.15E+05
POSmz222.996rt8.6882;5.84E+05
POSmz209.964rt8.6316;9.36E+05
POSmz204.986rt8.6849;8.88E+05
POSmz232.98rt8.6741;5.00E+06
POSmz189.962rt8.6832;3.92E+05
POSmz212.951rt8.6318;3.57E+05
NEGmz304.914rt1.404;2.04E+06
NEGmz459.203rt16.792;1.75E+05
POSmz816.702rt20.3099;4.69E+05
POSmz303.12rt13.3489;2.15E+05
NEGmz766.56rt21.9748;3.36E+05
POSmz247.965rt2.0204;1.24E+05
POSmz257.949rt2.0026;6.49E+05
POSmz239.938rt2.0125;4.40E+05
POSmz229.954rt2.0146;4.19E+05
POSmz183.912rt2.2669;2.26E+05
POSmz186.956rt8.4566;2.02E+06
POSmz815.697rt20.3126;1.15E+06
NEGmz782.547rt22.7088;1.62E+05
POSmz187.96rt8.1262;8.57E+04
POSmz215.912rt1.6914;1.07E+05
POSmz757.359rt17.0847;8.48E+05
POSmz225.189rt12.9778;1.17E+05
POSmz205.144rt14.8899;2.27E+06
NEGmz240.911rt23.2879;4.04E+05
POSmz307.931rt2.0046;3.18E+05
POSmz219.949rt8.5547;1.04E+05
POSmz419.17rt14.4439;3.55E+05
POSmz135.946rt8.2252;7.84E+05
POSmz276.936rt1.454;2.03E+05
POSmz189.959rt1.6997;1.37E+05
POSmz163.94rt8.548;4.37E+05
POSmz180.904rt1.5989;2.69E+06
POSmz191.972rt1.8285;5.67E+05
POSmz224.186rt12.7791;1.16E+06
POSmz237.959rt8.5849;2.44E+05
POSmz210.933rt1.7024;1.01E+05
NEGmz338.859rt22.7983;1.21E+05
POSmz181.951rt8.5094;2.58E+05
POSmz263.901rt1.4093;1.48E+05
POSmz102.971rt1.4611;1.55E+07
POSmz325.942rt2.0022;1.60E+05
POSmz120.981rt1.42;2.45E+06
POSmz213.923rt7.7273;2.06E+06
POSmz169.96rt1.4182;5.77E+05
POSmz84.96rt1.406;5.02E+07
POSmz381.87rt1.4783;1.01E+05
POSmz241.918rt8.552;3.41E+05
NEGmz102.947rt22.869;4.98E+05
POSmz231.933rt8.2225;1.24E+06
POSmz106.964rt1.4072;4.04E+05
POSmz167.963rt1.4172;8.20E+05
POSmz244.921rt1.8415;1.25E+05
POSmz149.953rt1.4148;2.01E+06
POSmz151.95rt1.4188;1.10E+06
POSmz166.986rt1.417;1.25E+06
NEGmz302.886rt23.3412;1.08E+05
POSmz152.953rt1.4155;2.40E+05
POSmz113.525rt1.4098;2.03E+05
POSmz162.907rt1.4926;1.80E+05
POSmz162.008rt1.4063;1.12E+06
POSmz242.926rt1.5483;5.59E+06
NEGmz207.918rt22.7809;3.05E+05
POSmz134.958rt1.4389;8.43E+04
NEGmz146.937rt22.8581;2.32E+06
POSmz134.942rt1.4097;1.62E+05
POSmz298.202rt16.2647;6.14E+05
POSmz811.667rt20.3116;2.63E+06
POSmz271.965rt2.5254;9.70E+04
POSmz105.963rt1.4184;2.76E+05
POSmz133.979rt1.4075;1.97E+05
NEGmz188.932rt22.8317;3.11E+05
POSmz326.197rt19.1487;8.57E+05
NEGmz513.707rt14.3416;3.19E+06
NEGmz297.116rt15.8222;3.98E+06
POSmz225.111rt10.4205;6.64E+05
NEGmz180.899rt22.8716;1.02E+06
NEGmz190.927rt22.8165;4.17E+06
NEGmz258.916rt22.8763;1.00E+06
NEGmz582.232rt13.981;1.31E+05
NEGmz103.919rt22.8655;1.23E+05
NEGmz320.886rt22.8761;2.87E+05
NEGmz326.904rt22.8739;8.66E+05
NEGmz255.916rt22.8753;1.70E+05
NEGmz289.148rt17.6661;6.15E+05
NEGmz394.89rt22.8715;5.65E+05
NEGmz182.896rt22.7742;3.61E+05
NEGmz487.194rt14.2041;2.07E+06
POSmz236.134rt15.0706;1.87E+06
NEGmz119.946rt1.8122;3.45E+06
NEGmz187.928rt22.8787;1.30E+06
NEGmz487.696rt14.2143;9.29E+05
NEGmz165.98rt1.8916;5.89E+05
NEGmz462.879rt22.776;2.16E+05
POSmz244.122rt15.0939;7.21E+06
POSmz785.652rt20.2137;1.89E+06
NEGmz646.765rt14.6128;6.92E+04
NEGmz136.909rt22.7736;4.19E+05
NEGmz671.247rt15.0007;6.87E+04
POSmz356.192rt15.127;1.22E+06
NEGmz832.337rt14.981;9.90E+04
NEGmz831.837rt14.9785;1.37E+05
NEGmz143.938rt22.8848;5.90E+05
NEGmz231.931rt22.6906;1.62E+06
NEGmz690.264rt14.6351;7.73E+04
